Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Animals; live,10102,Bovine,6695297
1,Animal Products,101,Animals; live,10103,Pigs,71579147
1,Animal Products,101,Animals; live,10104,Sheep and Goats,278935
1,Animal Products,101,Animals; live,10105,Poultry,107351
1,Animal Products,101,Animals; live,10106,Other Animals,4825074
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,377118
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,18897309
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,12014038
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,35630
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,64066940
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,4483036
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,45432
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,691213
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,50030746
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,23182131
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,275214168
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,454751784
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,50300605
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,164697474
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,353793291
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",5844203
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10401,Milk,2241012
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10402,Concentrated Milk,1004801
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10403,Fermented Milk Products,252129
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10404,Whey,47160
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10405,Butter,910472
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10406,Cheese,102527
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10407,Eggs,13113350
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10408,Processed Egg Products,2173328
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10409,Honey,28518055
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10410,Other Edible Animal Products,9558944
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10502,Pig Hair,19443570
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,132204438
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10505,Bird Feathers and Skins,52805975
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10507,Raw Bones,2410556
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,601429
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10510,Pharmaceutical Animal Products,187235
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,8185857
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20601,Bulbs and Roots,636094
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20602,Other Live Plants,18247070
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20603,Cut Flowers,11234109
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20604,Foliage,7277216
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,34011278
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,33655110
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,223618419
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,58237285
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20705,Lettuce,13474302
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,45593470
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20707,Cucumbers,9195398
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,2024624
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,98471384
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables,105586359
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20711,Preserved Vegetables,17239620
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20712,Dried Vegetables,365564396
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes,58453777
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20714,Cassava,24788925
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",17113
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,Other Nuts,56097903
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,Bananas,2423453
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,Tropical Fruits,4733771
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,Citrus,259595999
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,Grapes,90156543
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,Melons,6788846
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,Apples and Pears,249594447
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,Pitted Fruits,321900
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,Other Fruits,26350793
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,Frozen Fruits and Nuts,19041731
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,Preserved Fruits and Nuts,9088688
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,Dried Fruits,15047691
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,Citrus and Melon Peels,311029
2,Vegetable Products,209,"Coffee, tea, mate and spices",20901,Coffee,5224095
2,Vegetable Products,209,"Coffee, tea, mate and spices",20902,Tea,158592621
2,Vegetable Products,209,"Coffee, tea, mate and spices",20904,Pepper,56308075
2,Vegetable Products,209,"Coffee, tea, mate and spices",20906,Cinnamon,9884390
2,Vegetable Products,209,"Coffee, tea, mate and spices",20907,Cloves,74795
2,Vegetable Products,209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",139022
2,Vegetable Products,209,"Coffee, tea, mate and spices",20909,Spice Seeds,3974157
2,Vegetable Products,209,"Coffee, tea, mate and spices",20910,Spices,42293900
2,Vegetable Products,210,Cereals,21001,Wheat,3845533
2,Vegetable Products,210,Cereals,21003,Barley,18072
2,Vegetable Products,210,Cereals,21004,Oats,18000
2,Vegetable Products,210,Cereals,21005,Corn,2207099
2,Vegetable Products,210,Cereals,21006,Rice,51803723
2,Vegetable Products,210,Cereals,21007,Sorghum,3794571
2,Vegetable Products,210,Cereals,21008,Buckwheat,2841204
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,Wheat Flours,14271850
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,Cereal Flours,89897
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,Cereal Meal and Pellets,49692
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,Processed Cereals,3367923
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,Potato Flours,53430
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,Legume Flours,4205691
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,Malt,12064657
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,Starches,15409043
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,Wheat Gluten,13767325
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,Soybeans,10798531
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,Ground Nuts,28391070
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21203,Copra,685
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21204,Linseed,485663
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21206,Sunflower Seeds,75087437
