Year,RawValue,Region,Value,sort
2003,"7,590,832",World,1,11
2003,"177,556",Africa,0.02339084833,6
2003,"1,888,336",Asia,0.2487653527,1
2003,"86,904",ANZ,0.01144854741,7
2003,"3,639,559",Europe,0.4794677316,2
2003,"302,344",Middle East,0.03983015301,4
2003,"1,162,966",North America,0.1532066577,3
2003,"225,475",South America,0.02970359507,5
2003,"107,692",Other,0.01418711414,8
2004,"9,222,553",World,1,11
2004,"236,600",Africa,0.02565450152,6
2004,"2,653,366",Asia,0.2877040663,1
2004,"106,909",ANZ,0.01159212639,7
2004,"4,053,343",Europe,0.4395033566,2
2004,"400,834",Middle East,0.04346236883,4
2004,"1,319,698",North America,0.1430946507,3
2004,"293,217",South America,0.03179347411,5
2004,"158,586",Other,0.01719545553,8
2005,"10,510,292",World,1,11
2005,"308,468",Africa,0.02934913702,6
2005,"2,910,839",Asia,0.2769512969,1
2005,"127,827",ANZ,0.01216207885,7
2005,"4,557,985",Europe,0.4336687316,2
2005,"541,236",Middle East,0.05149581001,4
2005,"1,475,820",North America,0.1404166507,3
2005,"372,237",South America,0.03541642801,5
2005,"215,880",Other,0.02053986702,8
2006,"12,131,449",World,1,11
2006,"367,922",Africa,0.03032795176,6
2006,"3,576,140",Asia,0.2947825936,1
2006,"145,847",ANZ,0.01202222422,7
2006,"4,982,972",Europe,0.4107482956,2
2006,"659,499",Middle East,0.05436275584,4
2006,"1,664,141",North America,0.1371757817,3
2006,"449,820",South America,0.03707883535,5
2006,"285,108",Other,0.02350156193,8
2007,"14,031,345",World,1,11
2007,"436,472",Africa,0.03110692524,6
2007,"4,141,180",Asia,0.295137779,1
2007,"168,302",ANZ,0.01199471612,7
2007,"5,811,172",Europe,0.4141564476,2
2007,"766,233",Middle East,0.05460866367,4
2007,"1,840,749",North America,0.1311883501,3
2007,"515,065",South America,0.03670817017,5
2007,"352,172",Other,0.02509894811,8
2008,16169683,World,1,11
2008,"562,062.00",Africa,0.03476023618,6
2008,"4,724,686.00",Asia,0.2921941018,1
2008,"217,837.00",ANZ,0.01347194005,7
