Year,Value,Region
2001,"6,196,440.00",World
2002,"6,500,713.00",World
2003,"7,590,832.00",World
2004,"9,222,553.00",World
2005,"10,510,292.00",World
2006,"12,131,449.00",World
2007,"14,031,345.00",World
2008,"16,169,683.00",World
2009,"12,562,989.00",World
2010,"15,306,475.00",World
2011,"18,341,628.00",World
2012,"18,517,184.00",World
2013,"18,966,201.00",World
2014,"19,007,179.00",World
2015,"16,555,664.00",World
2016,"16,043,993.00",World
2017,"17,739,937.00",World
2018,"19,472,401.00",World
2019,"18,932,952.00",World
