Rank,Country,Value
1,China,426000
2,Germany,297000
3,Ireland,129070
4,Russia,124100
5,"Korea, South",119900
6,Saudi Arabia,94500
7,Netherlands,91000
8,United Arab Emirates,73400
9,Italy,72400
10,Taiwan,72000
11,Brazil,64000
12,Japan,57600
13,Switzerland,50100
14,Singapore,45500
15,Thailand,38200
16,European Union,34000
17,Qatar,29570
18,Malaysia,24800
19,Kuwait,24730
20,Puerto Rico,24150
21,Norway,22900
22,Iran,21460
23,Iraq,20270
24,Indonesia,18900
25,Denmark,18590
26,Kazakhstan,17410
27,Sweden,14900
28,Venezuela,11410
29,Angola,10820
30,Czechia,10000
31,Oman,9190
32,Australia,9100
33,Papua New Guinea,7648
34,Libya,7060
35,Azerbaijan,6956
36,Nigeria,5570
37,Hungary,5440
38,Chile,4590
39,Peru,3670
40,Liechtenstein,3217
41,Belgium,3000
42,Vietnam,2900
43,Equatorial Guinea,2857
44,Slovakia,2610
45,Turkmenistan,2593
46,Brunei,2501
47,Cote d'Ivoire,2291
48,Mongolia,1866
49,Gabon,1854
50,"Congo, Republic of the",1719
51,Botswana,1582
52,Slovenia,1530
53,San Marino,1276
54,Paraguay,1160
55,Macau,1137
56,Ghana,1070
57,Zambia,770
58,Suriname,406
59,Bahrain,370
60,Curacao,322
61,Chad,314
62,Uruguay,236
63,Faroe Islands,206
64,Falkland Islands,167
65,Eswatini,164
66,Ecuador,90
67,Solomon Islands,52
68,Guinea-Bissau,40
69,Northern Mariana Islands,21
70,Tokelau,-1
71,"Saint Helena, Ascension and Tristan da Cunha",-2
72,Niue,-9
73,Nauru,-18
74,Montserrat,-28
75,Uzbekistan,-60
76,Wallis and Futuna,-61
77,Palau,-62
78,Saint Pierre and Miquelon,-89
79,Kiribati,-97
80,Cook Islands,-106
81,Anguilla,-107
82,Sao Tome and Principe,-117
83,Burkina Faso,-126
84,Marshall Islands,-134
85,Tuvalu,-136
86,Dominica,-151
87,"Micronesia, Federated States of",-170
88,Cameroon,-176
89,Comoros,-176
90,American Samoa,-187
91,Saint Kitts and Nevis,-206
92,Vanuatu,-206
93,Gambia,-206
94,Saint Lucia,-226
95,Dem. Rep. Congo,-247
96,Mozambique,-248
97,Saint Vincent and the Grenadines,-260
98,Central African Republic,-262
99,Grenada,-267
100,Guyana,-302
101,Tonga,-303
102,Samoa,-314
103,Burundi,-342
104,Antigua and Barbuda,-359
105,Guinea,-360
106,Greenland,-376
107,Poland,-400
108,Monaco,-406
109,Belize,-461
110,Mauritania,-491
111,Eritrea,-491
112,Bhutan,-520
113,Trinidad and Tobago,-522
114,Cayman Islands,-533
115,Timor-Leste,-539
116,Seychelles,-549
117,Cabo Verde,-566
118,Turks and Caicos Islands,-567
119,United States Virgin Islands,-679
120,Lesotho,-687
121,Benin,-688
122,Sierra Leone,-727
123,"Korea, North",-767
124,Madagascar,-830
125,Mali,-855
126,Aruba,-919
127,Malawi,-945
128,Bermuda,-960
129,French Polynesia,-990
130,Togo,-1007
131,Djibouti,-1017
132,Niger,-1017
133,Barbados,-1033
134,Liberia,-1045
135,Iceland,-1074
136,Argentina,-1090
137,Rwanda,-1098
138,Armenia,-1128
139,Fiji,-1159
140,Andorra,-1178
141,Estonia,-1290
142,Bolivia,-1302
143,New Zealand,-1390
144,Uganda,-1690
145,Guam,-1840
146,Zimbabwe,-1842
147,Maldives,-1869
148,Tajikistan,-1930
149,South Africa,-1970
150,Belarus,-2000
151,Namibia,-2136
152,Macedonia,-2170
153,Bahamas,-2170
154,New Caledonia,-2193
155,Montenegro,-2196
156,Mauritius,-2216
157,Moldova,-2406
158,Finland,-2500
159,Kyrgyzstan,-2558
160,Malta,-2564
161,Haiti,-2661
162,Somalia,-2663
163,South Sudan,-2665
164,Senegal,-2681
165,Honduras,-2697
166,Gibraltar,-2765
167,Latvia,-2790
168,Kosovo,-2795
169,Nicaragua,-2815
170,Laos,-2971
171,Albania,-3123
172,Tanzania,-3416
173,Syria,-3863
174,Cambodia,-3890
175,Luxembourg,-4000
176,Lithuania,-4010
177,Yemen,-4072
178,Bulgaria,-4240
179,Bosnia and Herzegovina,-4310
180,Georgia,-4313
181,Jamaica,-4510
182,West Bank,-4521
183,Serbia,-4550
184,El Salvador,-4830
185,Sudan,-4841
186,Cyprus,-4979
187,Costa Rica,-5000
188,Burma,-5260
189,Panama,-5740
190,Israel,-6160
191,Bangladesh,-6470
192,Austria,-6500
193,Afghanistan,-6832
194,Guatemala,-6950
195,Ukraine,-7570
196,Cuba,-7955
197,Dominican Republic,-8670
198,Croatia,-8810
199,Tunisia,-9110
200,Kenya,-9472
201,Sri Lanka,-10210
202,Nepal,-10211
203,Jordan,-10386
204,Canada,-10700
205,Mexico,-10800
206,Portugal,-11720
207,Colombia,-12560
208,Romania,-13200
209,Ethiopia,-13684
210,Lebanon,-13999
211,Algeria,-16840
212,Morocco,-19560
213,Greece,-21000
214,Pakistan,-26570
215,Egypt,-29490
216,Philippines,-29610
217,Spain,-31900
218,Turkey,-39500
219,Hong Kong,-61700
220,France,-73100
221,India,-127500
222,United Kingdom,-166000
223,United States of America,-776000
